date,open,high,low,close,volume,tic,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
2016-01-04,25.65250015258789,26.342500686645508,25.5,26.337499618530273,270597600,AAPL,0.0,26.940880430198597,25.07411895944984,0.0,-66.66666666666667,100.0,26.337499618530273,26.337499618530273
2016-01-05,26.4375,26.462499618530273,25.602500915527344,25.677499771118164,223164000,AAPL,-0.014807688884246772,26.940880430198597,25.07411895944984,0.0,-66.66666666666667,100.0,26.00749969482422,26.00749969482422
2016-01-06,25.139999389648438,25.592500686645508,24.967500686645508,25.174999237060547,273829600,AAPL,-0.03445044626298355,26.896050919672003,24.563948164800653,0.0,-99.99999999999928,69.10809810470468,25.729999542236328,25.729999542236328
2016-01-07,24.670000076293945,25.032499313354492,24.107500076293945,24.112499237060547,324377600,AAPL,-0.08090122223036289,27.20252557693807,23.448723354946697,0.0,-114.39560667242748,85.85943205906051,25.325624465942383,25.325624465942383
2016-01-08,24.637500762939453,24.77750015258789,24.190000534057617,24.239999771118164,283192000,AAPL,-0.09936516504388138,27.00189148791758,23.2151075660375,5.74244442960584,-84.11667291957065,85.85943205906052,25.10849952697754,25.10849952697754
2016-01-11,24.74250030517578,24.764999389648438,24.334999084472656,24.63249969482422,198957600,AAPL,-0.0918132373661571,26.76669235216803,23.291640091069276,20.314673432396972,-54.97895734084158,85.85943205906052,25.029166221618652,25.029166221618652
2016-01-12,25.137500762939453,25.172500610351562,24.709999084472656,24.989999771118164,196616800,AAPL,-0.06919330563239612,26.609984408272314,23.43715762053628,30.446517830916022,-14.725880088675918,44.699717217333,25.023571014404297,25.023571014404297
2016-01-13,25.079999923706055,25.297500610351562,24.325000762939453,24.34749984741211,249758400,AAPL,-0.08347058396001472,26.48363776609716,23.394486470963386,24.625321333974654,-46.539278080998,54.539306802550314,24.939062118530273,24.939062118530273
2016-01-14,24.489999771118164,25.1200008392334,23.934999465942383,24.8799991607666,252680400,AAPL,-0.06566806093760391,26.37785423152433,23.487144903810957,35.240920785252186,-45.28140158824082,61.68367671609721,24.932499567667644,24.932499567667644
2016-01-15,24.049999237060547,24.427499771118164,23.84000015258789,24.282499313354492,319335600,AAPL,-0.08286085820124711,26.290852470471624,23.44414661400103,30.28927145900309,-94.34434926768077,63.1432392748937,24.867499542236327,24.867499542236327
